prompt,gold,split
is dollar tree the same as dollar general,False,train
does the cat in the hat have a name,False,train
the movie rudy based on a true story,True,train
is the movie the wall a true story,False,train
is it legal to carry a gun in nyc,True,train
the former soviet union broke into separate states,True,train
does hot and sour soup have a lot of sodium,True,train
would a person sink in a corn silo,True,train
paths from the cerebral cortex to the spinal cord are called the corticospinal tracts,True,train
do you have to bounce the ball in afl,True,train
is a denatured protein still able to function,False,train
is the movie the mountain between us based on a real story,False,train
do you have to pay taxes in the united states,True,train
are the marines part of the us navy,True,train
does liquid coffee mate have to be refrigerated,True,train
will there be a uk general election in 2018,False,train
can i use dexron iii for dexron ii,True,train
can i own a handgun in the uk,False,train
can you have two jobs in south africa,True,train
are long term capital gains taxed at a lower rate,True,train
does oregon have the stand your ground law,False,train
are pumas cougars and mountain lions the same animal,True,train
is popeye the sailor man a disney character,False,train
has tom hanks ever won an academy award,True,train
is jim hart in the hall of fame,True,train
do you need a gun license to buy a gun in nj,True,train
is it legal to drink in public in london,True,train
do you have to register to vote in america,True,train
are chess pie and buttermilk pie the same,False,train
true or false anaphylaxis generally only affects the skin and eyes,False,train
do you need to fast for random glucose test,False,train
is there going to be a season 4 of the border,False,train
does the nissan rogue have all wheel drive,False,train
is fear the walking dead set before the walking dead,True,train
do new zealand and australia have the same flag,False,train
did austria qualify for the world cup 2018,True,train
is carrie underwood in the movie soul surfer,True,train
is there a difference between saline and lactated ringer's,True,train
is one flew over the cuckoo's nest a true story,False,train
do you put water in a fog machine,True,train
when sandy hit nj was it a hurricane,False,train
is there an age limit to run for congress,True,train
during his lifetime an athenian citizen could serve on the council of five hundred,True,train
was call me by your name a book,True,train
has england won any world cup in cricket,False,train
is watcher in the woods a disney movie,True,train
do supreme court judges get secret service protection,False,train
was the movie dunkirk based on a book,False,train
does a jury have to be unanimous uk,False,train
is national guard boot camp the same as army,True,train
do dogwood trees grow in the middle east,False,train
is there such a thing as a coywolf,True,train
are doc martens still made in the uk,True,train
would hydrogen chloride be a gas at room temperature,True,train
is it possible to build an alcohol tolerance,True,train
do blue jays take over other birds nests,True,train
is the olympic torch always lit in greece,True,train
is canada in the 2018 soccer world cup,False,train
can cradle cap make baby hair fall out,True,train
is king louie in the jungle book book,False,train
does drake in my feelings have a video,True,train
can goalie pick up ball from throw in,False,train
is the cecil hotel still open in los angeles,True,train
is a birth certificate a valid form of id,False,train
is there a town named keister in the united states,True,train
do the individual parallel lines in a parallel circuit have different currents flowing through them,False,train
is the orientation of a protein sequence important for the protein function,True,train
is dc legends of tomorrow based on a comic,False,train
is bok choy the same as pak choi,True,train
do guinea pigs come from papua new guinea,False,train
is trelane a member of the q continuum,True,train
did thomas jefferson wrote the declaration of independence when he was president,False,train
was season 8 of vampire diaries the last,True,train
is antioch ca part of the bay area,True,train
is st. patricks day always on march 17,True,train
is there a national bring your dog to work day,True,train
does the iphone 8 plus have touch id,True,train
is there a fourth book of magnus chase,False,train
can you buy beer on sunday in new york,True,train
is there going to be a my little pony season 8,True,train
does a goal from a throw in count,False,train
the visual cliff is a device for studying,True,train
is it possible to download all of wikipedia,True,train
the long road home is it a series,True,train
do you need to put return address on mail,False,train
is guillain barre syndrome a lower motor neuron disease,True,train
is there a second season of iron fist,True,train
is himalaya the highest mountain in the world,False,train
is a 1-888 number toll free,True,train
is the graviton part of the standard model,False,train
is st david's day a bank holiday in wales,False,train
are the normal force and force of gravity always equal,False,train
does the mail run on memorial day weekend,False,train
is season 7 of ahs the last season,False,train
can you get drafted out of high school into the nba,False,train
did dan stevens do the singing in beauty and the beast,True,train
does penalty shoot out goals count for golden boot,False,train
is haroun and the sea of stories a children's book,True,train
can you play original xbox games on a 360,True,train
does the honda insight need to be plugged in,False,train
is big little lies just a mini series,False,train
is taylor still on the bold and beautiful,True,train
can you have a skunk as a pet in canada,True,train
can you marry your sister in the uk,False,train
is there going to be a season 2 of jamestown,True,train
does the united kingdom have an official language,False,train
did the dad die in the good dinosaur,True,train
is blue cross the same as blue shield,True,train
is mall of asia the biggest mall in asia,False,train
is 44 rem mag the same as 44 mag,True,train
can a person die from too much water,True,train
does canada's worst driver lose their license,False,train
will there be a 13th season of criminal minds,True,train
are family dollar and dollar general owned by the same company,True,train
can you drink in the street in glasgow,False,train
is cheaper by the dozen a true story,True,train
is there such thing as a 100 pound note,True,train
can you inhale alcohol vapors and get drunk,True,train
is daylight savings time all over the world,False,train
is polygamy legal in any state in the united states,False,train
can u really hear the ocean in a shell,False,train
is sweet italian sausage the same as mild,False,train
will there be a season 3 of too close to home,False,train
is the medal of honor the highest honor,True,train
can i be sacked for falling asleep at work,True,train
can you buy a car in wisconsin on sunday,False,train
is electrode potential the same as reduction potential,True,train
did north korea compete in the 2018 olympics,True,train
was mercury used as a cure for syphilis,True,train
can a member of congress be removed from office,True,train
is london the capital of the united kingdom,True,train
did they actually go to hawaii in everything everything,True,train
can u die for drinking too much water,True,train
can you still win both showcases on price is right,True,train
is a circle the same as a sphere,False,train
is sperm concentration the same as sperm count,True,train
did ward and june cleaver sleep in the same bed,False,train
is canada the only country with maple trees,False,train
were the bodies of operation red wings recovered,True,train
is it normal for guys to dribble after peeing,True,train
can you have more than one wife in the usa,False,train
has there ever been a female thunderbird pilot,True,train
is a bba the same as a bs,False,train
do you need intent to commit a crime,True,train
is the top thrill dragster the tallest roller coaster,False,train
is the red cross part of the un,False,train
did wales ever qualify for the world cup,True,train
is beauty and the beast still on broadway,False,train
does marvel own the rights to fantastic four,True,train
will there be a second series of the coroner,False,train
is it legal to turn right on red in california,True,train
does bree van de kamp go to jail,False,train
do penalties after extra time count towards golden boot,False,train
is there really such a thing as a broken heart,True,train
if a table contains a primary key there can be no duplicate records in a table,False,train
have the arkansas razorbacks ever won a national championship in football,True,train
do litigants on people's court get paid,True,train
is zip code the same as post code,True,train
did we leave the lunar rover on the moon,True,train
is it legal to drink beer while driving in texas,False,train
does blow drying your hair kill lice eggs,True,train
was the movie the guardian based on a true story,False,train
did lebanon ever qualify for the world cup,False,train
is monaco a country in its own right,True,train
is the movie the mission based on a true story,True,train
do you have to win a tennis set by 2,True,train
did china ever qualify for fifa world cup,True,train
are england in the world cup semi finals,True,train
are green beans the same as french beans,True,train
does all of japan have the same time zone,True,train
is spiderman homecoming a sequel to the amazing spider man,False,train
does the entire blastocyst develop into a fetus,False,train
can someone be both left and right handed,True,train
is there a season 4 of phryne fisher,False,train
can you go out with a wild card in uno,True,train
can a us citizen hold a foreign title,True,train
can a social security number have 8 digits,False,train
has anyone won all four grand slam in one year,True,train
can you download itv hub on xbox 360,True,train
does a trapezoid have one set of parallel lines,True,train
does prime minister have to be an mp,False,train
can i use my veteran id to get on base,False,train
is it illegal to be in possession of alcohol under 21,True,train
is the 2017 chevy cruze front wheel drive,True,train
can there be a beach on a lake,True,train
does puerto rico have to follow us laws,True,train
does every us citizen have a social security number,False,train
can anything be faster than the speed of light,False,train
is there going to be a mr robot season 4,True,train
is it possible for an element to have different types of atoms,True,train
is a cougar and a mountain lion the same thing,True,train
does jimmy o die in sons of anarchy,True,train
is triamcinolone acetonide cream used to treat poison ivy,True,train
will an xbox 360 game work on an xbox one,True,train
is there such thing as a jack rabbit,True,train
are they coming out with a new tinkerbell movie,False,train
are cash money and money mart the same company,False,train
is it ok to eat cooking apples raw,True,train
does the texas flag fly at the same height as the american flag,False,train
is it ordinary time in the catholic church,True,train
does borderlands 2 handsome collection have all dlc,True,train
is there going to be a season 3 of project runway junior,True,train
is transit aba number the same as routing number,True,train
is hashtag the same as the number sign,True,train
does the f train stop at queens plaza,False,train
is there a difference between slugs and snails,True,train
was the french quarter affected by hurricane katrina,False,train
can one point be in two different planes,True,train
do professional soccer players play in the olympics,True,train
is the avengers and avengers assemble the same film,True,train
is there going to be a season 8 of rules of engagement,False,train
are liquor stores open on sunday in wv,True,train
is there still a royal family in spain,True,train
is the limbic system the oldest part of the brain,True,train
are target and macy's owned by the same company,False,train
did bonnie blairs daughter make the olympic team,False,train
is the baby in fuller house a twin,True,train
was tom holland in amazing spider man 2,False,train
is stella the mother on how i met your mother,False,train
can an aftershock be stronger than an earthquake,False,train
are there any wild ravens in the uk,True,train
is a hyundai genesis coupe a sports car,True,train
does a death certificate have to show cause of death,False,train
is it legal to carry a gun in new hampshire,True,train
can you have identical twins that are different genders,False,train
is there a season 5 for the flash,True,train
is the girl in the spiders web a sequel to the girl with the dragon tattoo,True,train
was the movie 300 based on real events,True,train
is great britain part of the european union,True,train
can you send an envelope without a return address,True,train
is there going to be a season 5 of bates motel,True,train
is canada in the united states of america,False,train
the main component of stomach acid is sulfuric acid,True,train
can anyone have an out of body experience,True,train
is it illegal to hack into someones phone,True,train
does batman and harley quinn take place in the dcau,True,train
can a 3 way bulb work in any lamp,True,train
are hastings direct and hastings premier the same company,True,train
is the lexus es 350 front wheel drive,True,train
is there an airport on martha's vineyard,True,train
were there helicopters in the second world war,True,train
does the us play in the world cup this year,False,train
is a money order the same as a postal order,False,train
does kaori die in your lie in april manga,True,train
does a macbook air have an ethernet port,False,train
is cornwall in the south west of england,True,train
can a man have more than one wife in utah,False,train
did the lead singer of the who have a stutter,False,train
does an ace beat a queen in war,True,train
does the switch come with 1 2 switch,False,train
does the mom die in the impossible movie,False,train
can you get aero bars in the us,True,train
do citizens in puerto rico pay us taxes,True,train
are green beans the same as string beans,True,train
of all the points on the production possibilities curve only one point represents an efficient point,False,train
was the battle of gettysburg the bloodiest battle of the civil war,True,train
do cows have to stay pregnant to produce milk,False,train
is methodist the same as church of england,False,train
do you get paid for being on survivor,True,train
will there be a second season of fairy tail,True,train
were all the bodies recovered from operation red wings,True,train
is ain't a word in the webster dictionary,True,train
are collard greens the same as turnip greens,False,train
does dean come back to life in supernatural,True,train
is there a new robin hood movie coming out,True,train
did rocky beat apollo creed in rocky 1,False,train
is rough er part of the endomembrane system,True,train
is the uk part of the schengen zone,False,train
are there any mgm casinos in atlantic city,False,train
cells produce water as a by-product of energy metabolism,True,train
can the president serve more than two terms,False,train
is the cardiac sphincter the same as the lower esophageal sphincter,True,train
is pawn stars filmed in the actual store,True,train
is tomato puree the same as tomato sauce,False,train
is tom and jerry in the public domain,True,train
are the penguins out of the stanley cup,True,train
are you allowed to carry a knife in canada,False,train
does eddie murphy really sing party all the time,True,train
is the cash for clunkers program still active,False,train
is the united states coast guard part of the military,True,train
is there a such thing as citizens arrest,True,train
can you drink alcohol in salt lake city,True,train
do sharks die if their fins are cut off,True,train
is hydrated lime the same as calcium hydroxide,True,train
can a felon own a gun in nj,False,train
have the buffalo bills ever won a super bowl,False,train
did dennis quaid play the joker in batman,False,train
is a sister in law considered immediate family,True,train
does the empire state building have a 600th floor,False,train
can the house of representatives impeach a federal judge,True,train
is saving private ryan based on a book,False,train
is it illegal to pump and dump stocks,True,train
did italy qualify for the 2018 fifa world cup,False,train
can you travel to turkey with a french id card,True,train
inflation means specific prices are rising and relative prices are falling,False,train
is a set an element of its power set,True,train
is mother's day considered a national holiday,True,train
do i have the right to protect myself,True,train
do u need a licence for an air rifle in uk,True,train
did gerry rafferty sing stuck in the middle with you,True,train
is the movie mighty joe young a true story,False,train
is new zealand on the other side of the world,True,train
can work be done in a closed system,True,train
do the winners of the europa league qualify for the champions league,True,train
does st louis still have a football team,False,train
is general law the same as common law,True,train
are all kershaw knives made in the usa,False,train
does an inside the park home run count as a home runs,True,train
do you have to turn right at a red light,False,train
can substrate level phosphorylation occur in the absence of oxygen,True,train
does switzerland give a gun to every household,True,train
are any of the original power rangers in the new movie,True,train
is a caribou the same thing as a reindeer,True,train
is the movie se7en based on a book,False,train
was the declaration of independence before the revolutionary war,False,train
does puerto rico vote in the us presidential election,False,train
can you hit the backboard on a free throw,True,train
is there a jaws ride at universal studios hollywood,False,train
will there be a new series of the durrells,True,train
did hurricane audrey create a recorded storm surge,True,train
is target australia the same as target usa,False,train
is cash app and square cash the same,True,train
the system of law in the united states is based on the english common law,True,train
is the handmaid's tale a hulu original,True,train
can you wear a polo for business casual,True,train
is morgan stanley part of jp morgan chase,False,train
can u play xbox 360 games on an xbox 1,True,train
do they actually film movies at universal studios,True,train
is the game go the same as othello,False,train
is it possible to have an online relationship,True,train
is the mummy a remake of the mummy,False,train
india is the first country to reach mars,False,train
can you fly a flag at half mast,True,train
can gibraltar coins be used in the uk,False,train
have the raptors ever made it to the finals,True,train
did cadburys cream eggs used to be bigger,True,train
is himalayan pink salt the same as himalayan sea salt,True,train
are the paralympic games the same as the special olympics world games,False,train
does christina die in the book of henry,False,train
are pecans and walnuts in the same family,True,train
is the princess and the frog a broadway musical,False,train
are liquor stores open in oklahoma on 4th of july,False,train
is there such thing as an alligator snapping turtle,True,train
is there such a thing as a designated survivor,True,train
can i carry my gun in my car in wisconsin,True,train
is it possible to have two anxiety disorders,True,train
does the whole state vote for both senators,True,train
is the last key the last insidious movie,False,train
does will gardner die in the good wife,True,train
is there such a thing as being allergic to water,True,train
is there a 50 shades of grey 3,True,train
is kong skull island part of a series,True,train
is it possible to heat water above its boiling point,True,train
is there a spin off of grey's anatomy,True,train
is lake superior the second largest lake in the world,False,train
does a tornado watch mean there is a tornado,False,train
can all bay tree leaves be used in cooking,False,train
does chrysler still make the town & country minivan,False,train
is the back of the neck an erogenous zone,True,train
is jersey part of the uk royal mail,False,train
is the isle of man part of great britain,False,train
can you see mount whitney from death valley,True,train
will there be a sequel to the maze runner,True,train
can you get 2 yahtzees in a game,True,train
does the constitution state you have the right to remain silent,True,train
do you have to be 18 to buy airsoft guns,True,train
is the hundred foot journey based on a book,True,train
does puerto rico have a representative in congress,False,train
is west edmonton mall the biggest mall in the world,False,train
can microbes have symbiotic relationships with other microbes,True,train
do you have to be an all-star to be in the home run derby,False,train
did the new jersey plan suggest only one house of congress,True,train
is birmingham the 2nd largest city in uk,True,train
is a provisional license the same as a permit,True,train
can you see alpha centauri without a telescope,True,train
is the lincoln memorial on the national mall,False,train
is there going to be a new season of hell's kitchen,True,train
can you drink when your 18 with your parents in wisconsin,True,train
is it legal to shoot fireworks in delaware,False,train
is there a new tv show called the connors,True,train
is st pancras station the same as kings cross,True,train
is equatorial guinea and guinea the same country,True,train
do universal life policies have a cash value,True,train
can someone born on a military base be president,True,train
can you checkmate with two bishops and a king,True,train
can you get a tattoo with an 18 year old,True,train
are there two versions of ren and stimpy,True,train
is the federal reserve bank of new york a government agency,True,train
does the octet rule apply to all elements,False,train
does canada's prime minister hold a seat in the house of commons,False,train
do you have to pay to be on judge judy,False,train
can a runner advance on a dead ball in baseball,False,train
did over the garden wall win an emmy,True,train
is ruthie in season 11 of 7th heaven,True,train
is there a sequel to fantastic beasts and where to find them,True,train
can you remove venom glands from a snake,True,train
do they sell beer in grocery stores in new jersey,True,train
is the fairmont hotel part of a chain,True,train
did bradley cooper sing in a star is botn,True,train
is it possible for a triangle to have more than one obtuse angle,False,train
is one world trade center taller than the empire state building,True,train
has the us ever gone to the world cup,True,train
do both feet leave the ground when running,True,train
is estee lauder and clinique the same company,True,train
is charlie from charlie and the chocolate factory still alive,True,train
can you blink one eye at a time,True,train
is the separation of powers in the australian constitution,False,train
do you have to have two license plates in ontario,True,train
are black beans the same as turtle beans,True,train
is a wooly mammoth the same as a mastodon,False,train
is carling black label a south african beer,False,train
were the world trade centers the tallest buildings in america,True,train
is there still an east and west berlin,False,train
can i carry a gun in my car south carolina,True,train
does every player get their name on the stanley cup,False,train
is stanley cup 2-3-2,False,train
is it illegal to kill a slow worm,True,train
is a toyota kluger the same as a highlander,True,train
has croatia ever won a world cup final,False,train
is the book of mark in the new testament,True,train
will there be a third season of bed of roses,True,train
has any team won the superbowl in their own stadium,False,train
is there a dunkin donuts in all 50 states,False,train
sequence occurs when pattern of notes is repeated,True,train
is vanilla sugar the same as regular sugar,False,train
is there a sequel to mrs frisby and the rats of nimh,True,train
can eustachian tube dysfunction cause shortness of breath,False,train
was the five heartbeats based on a real group,False,train
have england ever not qualified for the world cup,True,train
is there going to be a third season of fargo,True,train
can you play infamous second son on ps3,False,train
is eddie and the cruisers a real story,False,train
is mystic pizza based on a true story,False,train
are they coming out with another underworld movie,True,train
my mother and other strangers is it a true story,False,train
do dogs have to have their dew claws removed,False,train
is pedro from napoleon dynamite in nacho libre,True,train
can you use chlorine in a saltwater pool,True,train
will the durells in corfu have a season 3,True,train
are horses donkeys and zebras the same species,False,train
egypt is bordered by the red sea and the mediterranean sea,True,train
was can't stop the feeling written for trolls,True,train
orange is the new black season 2 does alex come back,True,train
is it illegal to drink in public in singapore,False,train
is luis tiant in the hall of fame,True,train
are the channel islands part of the united kingdom,False,train
does the stock act apply to the president,True,train
did they ever find the boat from the perfect storm,False,train
do you have to be a member at bi mart,True,train
is godzilla and king kong in the same universe,True,train
has anyone won the grand slam in golf in one year,True,train
has tunisia ever been in the world cup,True,train
was nerve gas used in world war 1,True,train
is a professional degree higher than a phd,False,train
did hagrid die in the battle of hogwarts,False,train
did build a bear go out of business,False,train
is there a difference between ez pass and express e zpass,True,train
is the housing choice voucher program the same as section 8,True,train
is the game of thrones book series over,False,train
is the us post office a private company,False,train
has an nba player ever averaged a triple double,True,train
is there a sequel to the 5th wave,True,train
is the movie unbreakable based on a true story,False,train
did the irish fight in the civil war,True,train
are vidalia onions the same as sweet onions,True,train
do they celebrate cinco de mayo in canada,True,train
is anyone from the wizard of oz still alive 2017,True,train
is the irish pound the same as the british pound,False,train
is blue bell ice cream only sold in texas,False,train
was snow white in color when it first came out,True,train
do you need a gun permit in vermont,False,train
is duty free and tax free the same thing,False,train
is mount st helens still an active volcano,True,train
is there a bronze medal in the world cup,True,train
are they removing the carving from stone mountain,False,train
is wally west and bart allen the same person,False,train
is there going to be a third series of no offence,False,train
is there a season 2 of wynonna earp,True,train
when did you have to have a passport to go to canada,True,train
is fedex part of the us postal service,False,train
is there a second series of the good karma hospital,True,train
is quick ratio the same as acid test,True,train
did the king's speech win any oscars,True,train
is there more than one john wick movie,True,train
did the great fire of london destroy st paul's cathedral,True,train
does new zealand have a capital gains tax,False,train
can a gas mix into a liquid explain,True,train
does a sac fly count against your batting average,False,train
is the magna carta the english bill of rights,False,train
do you pay both ways on m6 toll,True,train
is the nasopharynx part of the respiratory system,True,train
in early 19th century new orleans where was real african music heard in the community,True,train
does better call saul take place after breaking bad,False,train
does the same actor play twins on deception,True,train
is a german shepherd the same as an alsatian,True,train
have china ever qualified for the world cup,True,train
are the faroe islands part of the eu,False,train
is glen cove part of town of oyster bay,True,train
do all last names in iceland end in son,False,train
is the netflix marvel shows in the mcu,True,train
is the domincan republic part of the usa,False,train
are king kong and godzilla in the same universe,True,train
does north carolina get a lot of hurricanes,True,train
can you drop kick a field goal in nfl,True,train
can i get a public defender for a civil case,True,train
is a ferret and a weasel the same thing,False,train
victoria and abdul is it a real story,False,train
is there a season 2 of hunted on cinemax,False,train
would a change in price shift the demand curve,False,train
does north carolina get snow in the winter,True,train
can you go to court for the same thing twice,False,train
does the fender hot rod deluxe have an effects loop,True,train
was the soviet union a member of the axis powers,False,train
is it legal to count cards in vegas,True,train
did all of the granite mountain hotshots die,False,train
has a city ever won all championships in one year,False,train
can you buy beer on sunday in ok,True,train
can the president of the philippines be re elected,False,train
do i need a concealed carry permit in nh,False,train
is there a difference between 9x19 and 9mm luger,False,train
did canada ever make it to the world cup,True,train
is the east coast on daylight savings time,True,train
is john wick going to be a trilogy,False,train
did the tomb raider game come out before the movie,True,train
can you die from getting hit in the heart,True,train
did the first hot air balloon fly successfully,True,train
does sweden pay students to go to school,True,train
can u play playstation 2 games on ps3,True,train
is australia still part of the british empire,False,train
minnie driver did she sing in phantom of the opera,False,train
is the area of zabeel park equal to that of 45 football playgrounds,True,train
is all of rick and morty season 3 out,True,train
can you knee a ball back to the goalkeeper,False,train
is cabo and cabo san lucas the same,True,train
are all house of representatives up for election at the same time,True,train
can alkenes have more than one double bond,True,train
is a section of dna recognized by a restriction endonuclease,True,train
is there ending credits for the incredibles 2,True,train
are the muppets the same as sesame street,False,train
is every strong electrolyte also a strong acid,False,train
does buffy's mom come back to life,False,train
do games from xbox 360 work on xbox one,True,train
was the revolutionary war before the declaration of independence,True,train
does it cost money to get into canada,True,train
is po box the same as zip code,False,train
do you have to be born in queensland to play state of origin,False,train
is there a bridge from spain to gibraltar,False,train
is there no speed limit on the autobahn,False,train
can you buy liquor on sundays in west virginia,True,train
have the nashville predators won the stanley cup,False,train
is ihop and applebees owned by the same company,True,train
is walgreens and cvs owned by the same company,False,train
is there a season 2 for the punisher,True,train
can i get into canada with an enhanced id,True,train
are all the game of thrones books written,False,train
is the rear differential part of the powertrain,True,train
did england lose a game in the 1966 world cup,True,train
is there a season 7 of republic of doyle,False,train
is les choristes based on a true story,True,train
did monk ever find out who killed his wife,True,train
is the letter j in the latin alphabet,True,train
can a us citizen hold more than one passport,True,train
did torrey pines park start out as a state reserve,True,train
was the tv show 9-1-1 cancelled,False,train
is there going to be a season 13 criminal minds,True,train
is hawaii and alaska part of the united states,True,train
is there a relationship between molecular weight and diffusion rate,True,train
did the voting age used to be 21,True,train
is stitch the movie the same as lilo and stitch,False,train
does authentic leadership have deep roots in philosophy,True,train
are exposure and shutter speed the same thing,True,train
is being dismissed the same as being fired,True,train
is star wars the last jedi the last star wars,False,train
did east germany ever qualify for the world cup,True,train
did morgan corinthos come back to general hospital,True,train
is dobby in the goblet of fire movie,False,train
is there going to be another season of britannia,True,train
do kurt and blaine get married in season 6,True,train
is a uterus and a womb the same thing,True,train
was the hudson river school an actual school,False,train
is part of niagara falls in new york,True,train
are there any of the beatles still alive,True,train
do manta rays have barbs on their tails,False,train
is season 6 the final season of nashville,True,train
can you go out on a jack in cribbage,True,train
will there be a season 2 of constantine,False,train
is new york life a mutual insurance company,True,train
is creme de cacao the same as chocolate liqueur,True,train
does the whistleblower protection act only apply to federal employees,True,train
does putting a shoe on a horse hurt,False,train
is it illegal to have a gun in your home,False,train
is st. patrick's day a holy day,True,train
is there an nfl team in las vegas,True,train
is a full moon the same as a new moon,False,train
is gilley's in pasadena texas still open,True,train
do betta fish only fight other betta fish,False,train
is star trek into the darkness a sequel,True,train
is there a canal from birmingham to london,True,train
is elena still a vampire in season 6,False,train
are the british virgin islands part of great britain,True,train
does anyone have an emmy grammy oscar and tony,True,train
does president have to be born in usa,True,train
is demon's souls part of dark souls,True,train
can i have dual citizenship in new zealand,True,train
have any teams played each other twice in the world cup,True,train
will there be a season 6 of once upon a time,True,train
is walls ice cream and walls sausages the same company,True,train
is sodium chloride the same as saline water,False,train
does the mason dixon line run through new jersey,False,train
is liz from magic school bus a girl,True,train
does stefan's constant depend upon wavelength of radiation,False,train
can you see the great wall of china from space wiki,False,train
is the song drinking problem by midland a remake,False,train
is a star is born 2018 a remake,True,train
has el salvador ever been in the world cup,True,train
are danielle and mike related on american pickers,False,train
will there be a adventures of tintin 2,True,train
hurricane season starts in spring true or false,False,train
did the mayans and aztecs speak the same language,False,train
can you buy wine in grocery stores in missouri,True,train
did john williams wrote music for indiana jones,True,train
is homeland security part of department of defense,False,train
were the olsen twins in the flintstones movie,False,train
is nebraska in the middle of the usa,True,train
is there a movie for anthem by ayn rand,False,train
is diary of a wimpy kid realistic fiction,True,train
can you play a zone defense in the nba,True,train
can you drive with a beer in texas,False,train
are the baltic countries part of the eu,True,train
is thursday night football going to be on regular tv,True,train
did morris brown college get their accreditation back,False,train
is me before you a nicholas sparks movie,False,train
is it bad to drain a deep cycle battery,True,train
the other boleyn girl is it based on a true story,True,train
does creon want to be king of thebes,False,train
has there ever been a convention of states,False,train
the international monetary fund was formed to provide for the short-term flow of money,True,train
was south africa part of the british commonwealth,True,train
is there a season 7 of vanderpump rules,False,train
can you get silk without killing the worm,True,train
did michael mcdonald sing backup on ride like the wind,True,train
do i need a license to shoot at a gun range,False,train
does a fluid ounce of water weigh an ounce,False,train
do i need to provide id to police,False,train
is sky movies the same as sky cinema,True,train
is the first order the same as the empire,True,train
does the us constitution guarantee separation of church and state,True,train
are there any dominick's stores still open,False,train
does dr house die in the last episode,False,train
has the world cup ever been stolen before,True,train
is cottage cheese the same as cheese curds,False,train
can heat energy be converted to electrical energy,True,train
is hwy 69 part of the trans canada highway,True,train
