prompt,gold
"Children bring desert out for their family member. the family

Choose the most appropriate continuation:
0. floats in a river.
1. member stands looking into a hut and then handing people photographs.
2. member cuts a piece of sunscreen.
3. enjoys eating the desert together.

Answer with only the number.
Answer:
",3
"The family enjoys eating the desert together. The people in the restaurant laugh at the man and he wonders what they are doing. the man

Choose the most appropriate continuation:
0. goes to the bathroom and isn't able to get very far.
1. puts the glass aside and a fourth person walks in and walks away.
2. plays the bagpipe and smiles and laughs as he enjoys the hospitality.
3. gets up and walks away to the other room.

Answer with only the number.
Answer:
",3
"A black female is shown in a room with a black scarf around her head. black spots on her faced

Choose the most appropriate continuation:
0. are then zoomed in on and she begins to apply something on it.
1. are shown and she misses a little bit of her swing.
2. are shown and one finger is seen poking through.
3. are shown as she continues to dance around on the hardwood and every move makes a lash on her face.

Answer with only the number.
Answer:
",0
"A black female is shown in a room with a black scarf around her head. Black spots on her faced are then zoomed in on and she begins to apply something on it. next

Choose the most appropriate continuation:
0. , she begins to brush her lips and make painted lips look just like a lipstick to the camera and ends with her closing gift and instruction showing her off at the end.
1. she is shown in various different locations and gets extremely close to a wall.
2. , she is shown making multiple moans and sprays some kind of liquid down her face before hanging up.
3. , she takes some spray and it makes her skin extremely oily and she continues to talk until the video is over.

Answer with only the number.
Answer:
",3
"A helicopter flies in some people who then start playing paintball. they

Choose the most appropriate continuation:
0. run around obstacles and have a great time.
1. lose their shirt during the fight and run back the others.
2. shoot at each other while the helicopter drone who am looking on.
3. chase a bird in the sky while others walk around.

Answer with only the number.
Answer:
",0
"A young boy and girl are standing over a sink with their mother talking. the mother

Choose the most appropriate continuation:
0. is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck.
1. washes the boy while the child grabs shampoo.
2. shows some shaving cream on the boy who is scrubbing her brushes.
3. instructs them on how to brush their teeth while laughing.

Answer with only the number.
Answer:
",3
"A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing. the boy

Choose the most appropriate continuation:
0. puts a shirt on and rubs his mouth.
1. helps his younger sister brush his teeth.
2. walks with an empty mouthwash cup on a sink floor.
3. and girl then begin working out.

Answer with only the number.
Answer:
",1
"The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she

Choose the most appropriate continuation:
0. shows how to hit the mom and then kiss his dad as well.
1. brushes past the camera, looking better soon after.
2. glows from the center of the camera as a reaction.
3. gets them some water to gargle in their mouths.

Answer with only the number.
Answer:
",3
"She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink. the woman

Choose the most appropriate continuation:
0. shakes her head in disbelief and waves at her.
1. laughs at the children dribbling water.
2. comes back and talks to the boys.
3. gets some food out of the fridge and they continue playing together.

Answer with only the number.
Answer:
",1
"A cat is sitting in a cat bed. It is licking its paw. it

Choose the most appropriate continuation:
0. then wipes its paw on its ear.
1. crawls to the door.
2. 's laying down about six inches away from the camera.
3. crawls on one foot to get closer to the camera.

Answer with only the number.
Answer:
",0
"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times. the man

Choose the most appropriate continuation:
0. played paper if and shoot the arrows to hit the target, then he hang from the board with his bow and arrow.
1. went to the target board and talked to the camera.
2. eventually throw the arrow, but it flew into the gravel is near the targets.
3. have his bow as he talk to the camera, he pulled it out to show how to put with its flex, tighten, and notch that was attached to his bow.

Answer with only the number.
Answer:
",1
"A man walks outside plugs his lawn mower in and gets ready to mow. he

Choose the most appropriate continuation:
0. drives through the grass while drinking from a large cup of water and carrying his lawn mower.
1. walks off the porch and goes back inside.
2. starts mowing his lawn casually going over all the grass.
3. does this multiple times until a pale orange moon appears overhead.

Answer with only the number.
Answer:
",2
"A man walks outside plugs his lawn mower in and gets ready to mow. He starts mowing his lawn casually going over all the grass. his dog

Choose the most appropriate continuation:
0. comes outside and starts to follow him a little while he's closer to the house.
1. comes outside and takes a closer look at the man mowing, after he picks up the mower.
2. runs loose and feeds on his movements.
3. is having a seizure and starts to hop all over the lawn as he walks around.

Answer with only the number.
Answer:
",0
"He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. the yard

Choose the most appropriate continuation:
0. is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.
1. is very neat and clean and very active under the circumstances.
2. gets mowed quicker by the dog.
3. eventually looks happy on the outside and appears to be going pretty happily.

Answer with only the number.
Answer:
",0
"A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. man

Choose the most appropriate continuation:
0. is on ocean and swimming in white water snapping his head.
1. is snowboarding up in the sea.
2. is doing flips in the waters and on the rocks and he be water surfing.
3. is walking on seashore through a lot of people and talking to the camera and holding an award and talking about surfing the seashore.

Answer with only the number.
Answer:
",3
"We see a bottle of face wash. we

Choose the most appropriate continuation:
0. see a newspaper story.
1. see four cookies in a pan.
2. see a person holding face wash then putting it on their face.
3. see a tool on a table.

Answer with only the number.
Answer:
",2
"We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush. we

Choose the most appropriate continuation:
0. see a closing title screen.
1. see a black screen with the credits.
2. see an illustration on how to add the wash using a brush.
3. then see a replay then the person putting the face wash on.

Answer with only the number.
Answer:
",2
"A person is seen throwing plaster onto a wall while the camera follows the person close behind. the person

Choose the most appropriate continuation:
0. continues throwing ingredients down and leads into a person kicking a dirty toilet.
1. gradually throws more and more onto the wall and the camera pans over the finished product.
2. then uses paper to spread it all over the wall followed by others putting paper through with the plaster.
3. is now seen putting wax all along the wall while still looking back to the camera.

Answer with only the number.
Answer:
",1
"More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin. a small blue bottle of the sun screen

Choose the most appropriate continuation:
0. appears and then different people carry it to a table where they mix the liquid with a straw with a straw and take turns squirting the liquid into their skin.
1. appears near each of their hair as they continue to talk but no bottle at all appear.
2. is then shown and several more people begin talking about the product.
3. zooms in on sheers that they have on the floor.

Answer with only the number.
Answer:
",2
"A group of boys are standing in a room with many clear cups of beer on a table they are all standing around. the boys

Choose the most appropriate continuation:
0. take a flute together and then begin to play the harmonica using it to play the tune.
1. begin to wrap red bow around the plastic cups, put bows on the bottoms _start_various objects on the foam covers and belongings to the floor.
2. talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups.
3. all grab one and chug their contents of the cans.

Answer with only the number.
Answer:
",2
"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. one of the ping pongs

Choose the most appropriate continuation:
0. is knocked upside down, which causes the other teens to give each other high fives.
1. tries to rise but dikes instead.
2. rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.
3. lands in the cup and one of the boys begins to drink the beer.

Answer with only the number.
Answer:
",3
"One of the ping pongs lands in the cup and one of the boys begins to drink the beer. the group

Choose the most appropriate continuation:
0. of teens is sailing down the river with others sailing in the background.
1. gets up together and poses with their vests to celebrate.
2. continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.
3. does a trick and the liquid is poured on a second table.

Answer with only the number.
Answer:
",2
"There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company. the representative from the company

Choose the most appropriate continuation:
0. is talking about the services they offer and how those dogs participate in dog shows.
1. speaks to a woman sitting on a colorful conference room chair next to a brown dog kennel in front of them.
2. tells viewers about a dog grooming company, itv with a website.
3. in grey sweater and black pants talks about the procedures on grooming dogs in life and techniques.

Answer with only the number.
Answer:
",0
"The representative from the company is talking about the services they offer and how those dogs participate in dog shows. a groomer

Choose the most appropriate continuation:
0. is seen using shears to creatively trim the dog's hair and even dye it in colorful shades of red, green, yellow and blue.
1. is presenting cookies to the room with a loaf of bread.
2. shows crowd opinion for use as their garden service representative.
3. speaks to an older man about snow cleaning dogs and showing how it is flectious.

Answer with only the number.
Answer:
",0
"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. after

Choose the most appropriate continuation:
0. , the woman gives ice cream to the child, and then the woman cleans the child's mouth.
1. , the child takes out the fork the other child takes out the spoon and eats the ice cream.
2. , the child and the woman tries to eat food without ice cream, then they sit and talk with adults in the room.
3. , two people wearing red shirts pass through the store's door and inside the market and besides a man and a chimpanzee wearing silver uniforms are watching the woman and child.

Answer with only the number.
Answer:
",0
"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. an old woman

Choose the most appropriate continuation:
0. feeds a boy ice cream.
1. hold the child and eats the ice cream, after the woman is giving baby ice cream to the child.
2. tries to stop the mother pray while giving a baby something else.
3. is standing using a white blower to blow snow.

Answer with only the number.
Answer:
",0
"Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men. a man in a gray shirt

Choose the most appropriate continuation:
0. is watching the men on the ground.
1. hits a big weight in slow motion.
2. is talking to one of the men in the middle of the gym.
3. is mimicking the person lifting the weight.

Answer with only the number.
Answer:
",3
"In home pet groomers demonstrate how to groom a pet. the person

Choose the most appropriate continuation:
0. puts a setting engage on the pets tongue and leash.
1. starts at their butt rise, combing out the hair with a brush from a red.
2. is demonstrating how the dog's hair is trimmed with electric shears at their grooming salon.
3. installs and interacts with a sleeping pet before moving away.

Answer with only the number.
Answer:
",2
"A person polish a shoe with a wrapped finger. then

Choose the most appropriate continuation:
0. , the person remove the wrapping paper to expose a shoe.
1. , the person removes the heel heel from the shoe and polish.
2. , the person grabs polish paste and water to polish the shoe.
3. , a person polish the fingers, then the person puts a black polish.

Answer with only the number.
Answer:
",2
"Eight people are standing at the studio, one woman walked at the back of the group. the group

Choose the most appropriate continuation:
0. then begins marching down a fitness track, demonstrating steps, going forward and backward, in between takes several breaks to lift their feet.
1. is gathered around a long table into a dance routine.
2. started dancing, swirling, shaking their hips, rotating, their arms and hands are moving from side to side, in front.
3. continue to discuss the topic of volleyball.

Answer with only the number.
Answer:
",2
"A man is seen talking to the camera and presents his knife and sharpener. He then glides the knife down the sharpener and shows how other knives work with different sharpeners. he

Choose the most appropriate continuation:
0. then repeats his advice and using more wax.
1. shows the using the sharpener on a piece of wood.
2. presents the knife one last time while still speaking to the camera.
3. uses scissors to cut the blade as well as metal and talk to the camera at the end.

Answer with only the number.
Answer:
",2
"A man walks onto the stage to join a band. a man

Choose the most appropriate continuation:
0. plays harp and flute while two other people play instruments next to him.
1. and woman dance around together on the stage.
2. dance on the ropes attached to the stage.
3. plays up front of a band with a harmonica.

Answer with only the number.
Answer:
",3
"A man walks onto the stage to join a band. A man plays up front of a band with a harmonica. the keyboardist

Choose the most appropriate continuation:
0. plays the hip hop and dance moves with the band.
1. plays a spirited solo during the song.
2. plays his guitar while moving his body around in front of the band.
3. sings with the band, twirling his violin as he walks.

Answer with only the number.
Answer:
",1
"A camera pans away from a road and shows a person's feet moving around. several shots

Choose the most appropriate continuation:
0. are shown of people riding up a mountain on skis while being pulled down by a rope.
1. are shown of people tying their shoes, hitting a button, and checking a watch.
2. are shown of people wake boarding.
3. are then shown of people riding on snowboards over mountains.

Answer with only the number.
Answer:
",1
"A camera pans away from a road and shows a person's feet moving around. Several shots are shown of people tying their shoes, hitting a button, and checking a watch. people

Choose the most appropriate continuation:
0. march around a room wearing funny hats, hats, and shoes.
1. then are shown washing a car.
2. are then seen running down the road one at a time followed by many more following.
3. walk along a road, using bicycles and bagpipes.

Answer with only the number.
Answer:
",2
"A gymnast put power chalk power on his hands and stands near the pommel horse. then

Choose the most appropriate continuation:
0. , the gymnast put strength and power item on his body and falls.
1. , the gymnast approach the pommel horse to spin around many times.
2. , the gymnast blade the board and stands in position facing the pommel horse doing blade moves.
3. , the gymnast moves around and flips the chalk power to full weight and continues gymnastics for the next competition, after he turns and stands near the pommel horse.

Answer with only the number.
Answer:
",1
"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. then

Choose the most appropriate continuation:
0. , the gymnast stand on his hand and jumps to land on the floor, while people applaud.
1. , the gymnast put the star light on his hands and jumps high using strength.
2. , the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.
3. , the gymnast cross the pommel horse with the long rope while performing handsprings.

Answer with only the number.
Answer:
",0
"A logo shows that this video is presented by expert village. a man in a small blue boat

Choose the most appropriate continuation:
0. is pushing a kress of water in a lake while instructing his boarder.
1. discusses the topic of hand surfing in a hole and gives hints on how to perform this activity.
2. , in the middle of a lake, is skiing.
3. is in the water pushing a boat with a sail.

Answer with only the number.
Answer:
",1
"A man in a small blue boat discusses the topic of hand surfing in a hole and gives hints on how to perform this activity. the man

Choose the most appropriate continuation:
0. demonstrates how to properly back up a hand surf by requiring an anchor.
1. demonstrates tricks that can be done while performing this activity.
2. in the small blue boat holds a fish in his hands and then holds the fish while talking about the technique needed to perform this activity.
3. is omic on the water as he's riding the speedo on the aerobic machine still pointing down at the water.

Answer with only the number.
Answer:
",1
"The camera pans to show a man playing a harmonica while sitting on a log beside a river. A woman walks near the train tracks while a train drives by. the woman

Choose the most appropriate continuation:
0. continues just playing with the tunes she made.
1. sees the harmonica playing man in the distance.
2. taps a horn intermittently as the camera pans right.
3. plays a song on her harmonica while walking away from the train.

Answer with only the number.
Answer:
",1
"A woman walks near the train tracks while a train drives by. The woman sees the harmonica playing man in the distance. she

Choose the most appropriate continuation:
0. comes back to the train and continues walking on the subway.
1. walks around the rail of the tracks and watches the scenery and the crowds of people.
2. watches him and listens to him playing.
3. begins playing with the harmonica and stops.

Answer with only the number.
Answer:
",2
"The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. the man

Choose the most appropriate continuation:
0. takes out a wall show from his guitar.
1. finishes playing and remains seated.
2. jumps over a barrier and lands on the sandy beach.
3. plays in a house while the woman looks on.

Answer with only the number.
Answer:
",1
"A person is shown looking around a city and begins washing windows with his tools. he

Choose the most appropriate continuation:
0. then brushes right through the window and cleans it off.
1. uses a large block cutter to remove smaller blocks until he has the whole of the window covered.
2. puts water on a hose and begins cleaning the windows.
3. goes up and down the windows at a rapid pace and continues filming himself through the glass.

Answer with only the number.
Answer:
",3
"A person is shown looking around a city and begins washing windows with his tools. He goes up and down the windows at a rapid pace and continues filming himself through the glass. he

Choose the most appropriate continuation:
0. continues to work by scrubbing the windows and then by pouring water out.
1. takes his clothes off and hangs them up before throwing his plaid shirt into the laundry.
2. finishes the glass in record time and turns off the camera.
3. spins around to show the different angles of the board and shows pictures of the house in the end.

Answer with only the number.
Answer:
",2
"A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. the man

Choose the most appropriate continuation:
0. is reeling in a fish for a long time.
1. spins with his fishing pole in the air.
2. does a trick on his dirty ice fishing line.
3. does numerous tricks as he goes through these beauty course courses of ice covered lakes.

Answer with only the number.
Answer:
",0
"A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. The man is reeling in a fish for a long time. the mans catch

Choose the most appropriate continuation:
0. more fish and throws them to the side.
1. finally reaches the surface.
2. a fish for dinner by making a wish with his mouth.
3. one and puts it on a fishing pole in the lake.

Answer with only the number.
Answer:
",1
"Two children are seen sitting in a tub rubbing their faces and another person's hands interacting. the boy

Choose the most appropriate continuation:
0. continues to rub water all over his face as well as play with toys and smile at the cameraman.
1. walks out of the bathroom laughing to the camera and the girl stands up to rinse her face off.
2. then begins washing the other child and ends by copulating with him.
3. is now seen pointing down by himself and leads into him holding a comb and blow dryer and speaking to others.

Answer with only the number.
Answer:
",0
"A woman hands a young boy a stick with a little girl grabbing for her attention. the pinata

Choose the most appropriate continuation:
0. is lifted and the boy begins swinging at the object.
1. pops, and a child in white attempts to hit the pinata, but fails.
2. pops out of the playground.
3. is hit one after the other, and the girl lets go her hold.

Answer with only the number.
Answer:
",0
"A woman hands a young boy a stick with a little girl grabbing for her attention. The pinata is lifted and the boy begins swinging at the object. the camera

Choose the most appropriate continuation:
0. zooms in on the pinata and then the girl.
1. is upside down so everyone else can't see the object.
2. pans around people watching while he hits the pinata and a little boy is seen clapping behind him.
3. zooms in on the boy's head and he looks at the pinata person in the background.

Answer with only the number.
Answer:
",2
"A woman is playing a violin on the street while various people walk around here and behind her. she

Choose the most appropriate continuation:
0. continues to play violin while people pass by her.
1. continues playing the violin and beginning to intermittently move the sticks up and down.
2. smiles into the camera while playing and continues playing the song while several people bend down to tip her and walk around her.
3. finishes and walks off, leaving the violin lying on the ground.

Answer with only the number.
Answer:
",2
"Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot. he

Choose the most appropriate continuation:
0. shows how the vegetables are chopped for seasoning and then sprinkled into broth and shown with the water boiling.
1. cooks up a meal and each are shown eating inside the pot.
2. boils food into a bowl and then adds some part of a salad into the bowl.
3. then cuts up a piece of bread, scoops out the insides, and fries up some meat.

Answer with only the number.
Answer:
",3
"Ingredients are sitting on a wooden block. a person

Choose the most appropriate continuation:
0. adds flour to a baking pan.
1. starts mixing the ingredients together.
2. puts salt, lemon juice in a pot, then adds eggs, cheese, ham, and some other hoagies.
3. is mixing the ingredients in an iron.

Answer with only the number.
Answer:
",1
"A man is seen walking closer to a pinata while a large group of people stand around him. the man

Choose the most appropriate continuation:
0. shows off various tapers while swinging at the pinata and throwing them out to the crowd.
1. then throws the pin while others watch on the sides.
2. spins around several times and throws the stick.
3. misses the pinata and hits a person behind him, shown again in slow motion.

Answer with only the number.
Answer:
",3
"A pair of female hands uses an iron on a piece of baby clothing. the woman

Choose the most appropriate continuation:
0. wets the garment and scrubs it with a cloth.
1. peels the old clothing off the piece and replaces it with dry material.
2. sets the iron aside and flips the clothing.
3. wraps the garment on top of the blouse, then irons it.

Answer with only the number.
Answer:
",2
"A pair of female hands uses an iron on a piece of baby clothing. The woman sets the iron aside and flips the clothing. the woman

Choose the most appropriate continuation:
0. then undresses and irons the shirt.
1. places a pair of pants into a bucket.
2. shows how to iron a sock correctly.
3. uses the iron on the other side of the clothing.

Answer with only the number.
Answer:
",3
"The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing. the woman

Choose the most appropriate continuation:
0. scrubs the clothing with her hands.
1. quickly picks up and irons, flames dancing over the clothing.
2. sets the iron aside.
3. crosses her arms in front of her and it's gone.

Answer with only the number.
Answer:
",2
"We see a chair with a pillow on it. a man holding a cat

Choose the most appropriate continuation:
0. does curling.
1. starts hitting objects on an item.
2. sits down on the chair.
3. is wrapping a box.

Answer with only the number.
Answer:
",2
"We see a chair with a pillow on it. A man holding a cat sits down on the chair. The man clips the cats fingernails. the man

Choose the most appropriate continuation:
0. strokes the cat's head.
1. then clips the cat nails.
2. puts the cat down and boxes it with paper.
3. gives the cats ears.

Answer with only the number.
Answer:
",0
"A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man

Choose the most appropriate continuation:
0. sits back down on the chair.
1. takes the cat to the other room.
2. stands up and walks down the sidewalk.
3. plays with the cat rocking it back and forth.

Answer with only the number.
Answer:
",3
"A young girl in a green leotard begins twirling a baton and doing tricks. the girl

Choose the most appropriate continuation:
0. does this in the beginning while using her foot and one hand to move around her body.
1. begins to do some of her routine and does a few hip spins.
2. puts their hands together, and twirl together like a ballet dancer.
3. begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms.

Answer with only the number.
Answer:
",3
"The girl begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms. as the young lady

Choose the most appropriate continuation:
0. continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop.
1. is still serving the baton, she places the extension on her left hand and does a full 180 degree spin in one flip.
2. becomes more involved in the ballet, she does a final dismount to bring her elbows down and her upper body straight.
3. is zapping her arms and is practicing her baton twirling technique, she grabs the baton from the ground and shows herself victorious while her coach claps.

Answer with only the number.
Answer:
",0
"As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop. the rest of the young girl's performance

Choose the most appropriate continuation:
0. is replayed in slow motion.
1. is a set of twirls and twist and then she runs off the floor to finish her performance.
2. is shown several times and ends by showcasing her back to the both the camera and a final focus of her performance.
3. is replayed, ending with the young lady clapping her hands joyfully.

Answer with only the number.
Answer:
",1
"We see a man in a driveway cleaning snow from his car. the man

Choose the most appropriate continuation:
0. cleans the snow under his windshield wipers.
1. wet his car and wipes it down.
2. moves the snow out of the front bumper of his car and pours gasoline on it.
3. removes the pieces of the line off his windshield.

Answer with only the number.
Answer:
",0
"We see a man in a driveway cleaning snow from his car. The man cleans the snow under his windshield wipers. we

Choose the most appropriate continuation:
0. see the old man's garage and what looks like a boat in the water.
1. see the building behind the car.
2. zoom in on the cabin.
3. see the mans silver car gliding by in the background.

Answer with only the number.
Answer:
",1
"The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot. the man

Choose the most appropriate continuation:
0. finishes and turns off the wipers.
1. opens the doors on his car and gets in.
2. finishes and slides out of the car.
3. puts up the camera.

Answer with only the number.
Answer:
",1
